ID,2006,2007,2008,2009,2010,2011,2012,total,# yrs seen
AI06006,1,0,1,0,0,0,0,2,2
AI06007,2,1,0,0,0,0,1,4,3
AI06015,2,1,1,0,2,0,2,8,5
AI06022,1,0,0,0,0,0,4,5,2
AI06038,1,0,2,0,0,0,0,3,2
AI10040,0,0,0,0,6,0,0,6,1
AI10042,0,0,1,0,6,0,0,7,2
AI10043,0,0,0,0,5,0,0,5,1
AI10049,0,0,0,0,5,0,0,5,1
AI10050,0,0,0,0,3,0,0,3,1
AI10051,0,0,0,0,4,0,5,9,2
AI10053,0,0,0,0,2,0,0,2,1
AI10054,0,0,0,0,5,0,0,5,1
AI10055,0,0,0,0,4,0,12,16,2
AI10056,0,0,1,0,5,0,0,6,2
AI10059,0,0,0,0,3,0,0,3,1
AI10064,0,0,0,0,2,0,0,2,1
AI10066,0,0,0,0,1,0,0,1,1
AI10067,0,0,0,0,2,0,3,5,2
AI10070,0,0,1,0,3,0,0,4,2
AI10073,0,0,0,0,4,0,0,4,1
AI10079,0,0,0,0,1,0,0,1,1
AI10081,0,0,0,0,2,0,0,2,1
AI10085,0,1,0,0,1,0,0,2,2
AI10086,0,1,0,0,2,0,0,3,2
AI10094,0,0,0,0,3,0,0,3,1
AI10098,0,0,0,0,2,0,0,2,1
AI10099,0,0,0,0,1,0,0,1,1
AI10100,0,0,0,0,1,1,0,2,2
AI10102,0,0,0,0,3,0,0,3,1
AI10103,0,0,0,0,3,0,0,3,1
AI10106,0,1,0,0,1,1,0,3,3
AI10113,0,1,0,0,5,0,0,6,2
AI10122,0,0,0,0,2,0,0,2,1
AI10124,0,1,0,0,1,0,0,2,2
AI10125,0,0,0,0,1,0,0,1,1
AI10126,0,0,0,0,1,0,0,1,1
AI10127,0,0,0,0,1,0,5,6,2
AI10130,0,0,0,0,6,0,0,6,1
AI10132,0,1,0,0,1,0,1,3,3
AI10139,0,0,0,0,3,0,0,3,1
AI10144,0,0,0,0,5,0,0,5,1
AI10150,0,0,0,0,2,0,4,6,2
AI10160,0,0,0,0,1,0,0,1,1
AI10164,0,0,0,0,4,0,0,4,1
AI10165,0,0,0,0,3,0,0,3,1
AI10166,0,0,0,0,4,0,0,4,1
